"id","uuid","date_start","date_end","event_type","event_active","event_recurs","recurrence_rule","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"135","c221d8fc-b478-4184-95bf-8a8fe18eb56e",2023-11-03,2023-11-12,"Local / Neighbourhood Festival",true,true,"","La Verneda de Sant Martí","la-verneda-de-sant-mart-2023","Sant Martí Neighbouhood - Various",41.4100098,2.2029804,2,true,"https://www.evern.org/festa-major-2023/",""
"136","dad2a7db-7d69-41b1-bc4f-da4e513a9b26",2023-11-05,2023-11-05,"Local / Neighbourhood Festival",true,true,"","Trobada BCN Ciutat Diversa","trobada-bcn-ciutat-diversa-2023","Arc de Triomf - Passeig de Lluís Companys",41.3910524,2.1806449,1,true,"https://ajuntament.barcelona.cat/oficina-no-discriminacio/ca/noticia/trobada-bcn-ciutat-diversa-2023",""
"137","d4cab910-7e69-46a6-93d8-60c9ff0d9b46",2023-11-23,2024-01-06,"Local / Neighbourhood Festival",true,true,"","Christmas Lights Turn on","christmas-lights-turn-on-2023","Passeig de Gracia",41.3880345,2.170281,1,true,"https://www.barcelona.cat/infobarcelona/en/tema/culture-and-leisure/horaris-de-lenllumenat-de-nadal-del-2023_1331713.html",""
"138","7dcd34a7-a3b8-4e3f-8a3f-c7572927a3f0",2023-11-24,2023-11-24,"Local / Neighbourhood Festival",true,true,"","Fira de Santa Llúcia","fira-de-santa-ll-cia-2023","Plaça Nova",41.3842534,2.1751129,1,true,"https://en.firadesantallucia.cat/la_fira.php",""
"139","eaa1c597-3734-4c22-9ff9-f28306fe2a2b",2023-11-24,2023-11-24,"Open Day / Weekend",true,true,"","Poblenou Open Night","poblenou-open-night-2023","Poblenou - Various",41.4033546,2.2028843,2,true,"https://poblenouurbandistrict.com/en/poblenou-open-night/",""
"140","0bc642d1-eecb-4f8f-8ea8-f2bca4ca6586",2024-02-03,2024-03-23,"Music / Film Festival",true,true,"","Sons de Ciutat Winter","sons-de-ciutat-winter-2024","Barcelona - Various Neighbourhoods",41.3873974,2.168568,3,true,"https://www.barcelona.cat/sonsdeciutat/en","Occurs each saturday from 12h (check line-up). As well as winter/christmas, also occurs in spring and autumn throughout the year."
"141","dacf0205-6c0a-453c-a740-83972d82889c",2024-05-15,2024-05-26,"Food / Drink Festival",true,true,"","The Champions Burger","the-champions-burger-2024","Fira Barcelona Montjuïc, Plaça de L’Univers",41.3739349,2.1505137,1,true,"https://thechampionsburger.es/","The festival travels around Spain"
"142","94093b20-a769-4d4e-be7f-b49c69d1b78e",2024-06-07,2024-06-09,"Food / Drink Festival",true,true,"","Meat and Fire Festival","meat-and-fire-festival-2024","Moll de la Fusta",41.3796026,2.1820142,1,true,"https://meatandfire.org/en/",""
"143","55a3b94e-30a9-4520-96e2-756f601a34be",2024-07-20,2024-07-21,"Music / Film Festival",true,true,"","Reggaeton Beach Festival","reggaeton-beach-festival-2024","Circuit de Barcelona-Catalunya (Montmeló)",41.5696659,2.2578755,1,false,"https://reggaetonbeachfestival.com/","This year the festival is held on the racetrack in Montmeló."
"144","33aff56c-4e0f-4252-a85f-12d38d48d989",2024-11-21,2024-11-21,"Culture / Arts Festival",false,true,"","Els Llums de Sant Pau","els-llums-de-sant-pau-2024","Recinte Modernista de Sant Pau",41.4136099,2.1747451,1,true,"https://elsllumsdesantpau.com/","The event runs until 14th January 2024."
"145","190054cf-4dff-46dd-8855-eedb9a59585f",2024-03-22,2024-03-24,"Food / Drink Festival",true,true,"","Barcelona Beer Festival","barcelona-beer-festival-2024","Plaza Universo at Fira Barcelona Montjuïc",41.3735642,2.1515691,1,true,"https://barcelonabeerfestival.com/",""
"146","ad5bd058-ee9c-446c-b8f6-54ca500f8225",2024-04-26,2024-05-05,"Culture / Arts Festival",true,true,"","Feria de Abril","feria-de-abril-2024","Parc del Fòrum",41.4129941,2.2285858,1,true,"https://parcdelforum.barcelona/es/agenda/feria-de-abril",""
"147","2a608d8a-cd0e-4ef7-be32-a69e41677fc5",2024-05-03,2024-05-05,"Culture / Arts Festival",true,true,"","Comic Fair","comic-fair-2024","Fira de Barcelona",41.3739349,2.1505137,1,true,"https://www.comic-barcelona.com/",""
"148","11b46320-c2a0-48d1-a4ae-c82a068860b8",2024-05-04,2024-11-27,"Music / Film Festival",false,true,"","Mas i Mas Festival","mas-i-mas-festival-2024","Jamboree, Apolo, La Paloma",41.3796814,2.1752178,2,true,"https://masimasfestival.com/","Multiple locations, include Jamboree, Apolo and La Paloma."
"149","0412d665-1f49-4a4d-baa6-8689a0fcd5ae",2024-05-29,2024-06-02,"Music / Film Festival",true,true,"","Primavera Sound","primavera-sound-2024","Parc del Forum",41.4114594,2.2246577,1,true,"https://www.primaverasound.com/",""
"150","aa0f4a47-d452-42f9-b7ba-aa5b666be6ad",2024-06-05,2024-06-09,"LGBT Festival",true,true,"","Sitges Pride","sitges-pride-2024","Sitges Beach",41.2330556,1.8039656,1,true,"https://www.gaysitgespride.com/","The event takes place right on the seafront opposite the Hotel Calipolis."
"151","8a7eb14b-60ea-41a0-8794-f442c52f7346",2024-06-06,2024-06-16,"LGBT Festival",true,true,"","Fire LGBT Cinema Festival","fire-lgbt-cinema-festival-2024","Centre LGTBI de Barcelona",41.3764911,2.1639616,1,true,"https://mostrafire.com/en/","This event has multiple locations. Check the website for more information."
"152","0c548a5a-8fb1-4b75-bf40-91a4f3ed3506",2024-06-13,2024-06-16,"Music / Film Festival",true,true,"","Off Sonar","off-sonar-2024","Poble Espanyol",41.3688085,2.1482732,1,true,"https://offsonar.co/",""
"153","434830b5-6aeb-4665-b949-8215bd7ff655",2024-07-10,2024-07-13,"Music / Film Festival",true,true,"","Festival Cruïlla","festival-cru-lla-2024","Parc del Fòrum, Barcelona",41.4114594,2.2246577,1,true,"https://www.cruillabarcelona.com/",""
"154","0a0da759-f18e-4547-a5cf-04120872921a",2024-07-12,2024-07-12,"Music / Film Festival",true,true,"RRULE:FREQ=WEEKLY;COUNT=9","Mecal Air Barcelona (Open Air Cinema)","mecal-air-barcelona-open-air-cinema-2024","Museo Can Framis",41.4028922,2.1949848,1,true,"https://www.mecalbcn.org/mecal-air","The sessions start at 20:00h"
"155","d444eee2-c98e-4fc2-9a45-420942346e6d",2024-07-20,2024-07-20,"LGBT Festival",true,true,"","Pride Barcelona","pride-barcelona-2024","Plaça de la Universitat",41.3856376,2.1642715,1,true,"https://www.pridebarcelona.org/","The main procession goes from Plaça Universitat to Arc de Triomf, starting at 18:00h"
"156","083d1a56-2a3b-45ab-9078-458870f1a9d0",2024-08-10,2024-08-18,"LGBT Festival",true,true,"","Circuit Festival","circuit-festival-2024","Illa Fantasia Water Park",41.503559,2.36319,1,true,"https://www.circuitfestival.net/",""
"157","ea9285e3-2910-4385-ba07-65fbb82607ac",2024-08-11,2024-08-11,"Music / Film Festival",true,true,"RRULE:FREQ=WEEKLY;COUNT=4","Brunch Electronik Barcelona","brunch-electronik-barcelona-2024","Jardins de Joan Brossa",41.3682618,2.1650693,1,true,"https://barcelona.brunchelectronik.com/",""
"158","782ab81a-9160-4de5-b992-8e8d566576b8",2024-10-03,2024-10-06,"Music / Film Festival",true,true,"","Porn Film Festival","porn-film-festival-2024","Inusual Project, El Raval",41.3824598,2.1654543,1,true,"https://pornfilmfestivalbarcelona.com/",""
"159","0406ca21-a8d8-4799-875c-ab798caef4ec",2024-05-17,2024-05-19,"Music / Film Festival",true,true,"","BDSM Film Festival","bdsm-film-festival-2024","Inusual Project, El Raval",41.3824598,2.1654543,1,true,"https://bdsmfilmfest.com/",""
"160","641c435e-65dc-4cfc-ac94-ff0ce2f5b066",2024-08-21,2024-08-24,"Music / Film Festival",true,true,"","Canela Party","canela-party-2024","Av. del Real, 0, 29620 Torremolinos, Málaga",36.6217432,-4.5139168,1,false,"https://canelaparty.com/",""
"161","f0376e2a-7a41-46aa-b05b-e8a6b63d38c7",2024-07-01,2024-07-25,"Music / Film Festival",true,true,"","Les Nits de Barcelona","les-nits-de-barcelona-2024","Jardins del Palau de Pedralbes",41.3873818,2.1187924,1,true,"https://nitsdebarcelonapedralbes.com/","Check the programme for the full line-up."
"162","c8f1e474-5944-4bb5-b7b8-3fb268407738",2024-09-11,2024-09-11,"Local / Neighbourhood Festival",false,true,"","Dia de Catalunya","dia-de-catalunya-2024","Barcelona - Various",41.3873974,2.168568,3,true,"https://web.gencat.cat/es/diada-nacional-de-catalunya/historia/celebracions-historiques/",""
"163","bb161064-9dcf-48d5-9c60-2218faac3fe3",2024-09-12,2024-09-15,"Sporting Event / Festival",true,true,"","Skate Love Barcelona","skate-love-barcelona-2024","CEM Mar Bella",41.4000657,2.2117822,1,true,"https://www.skatelovebcn.com/",""
"164","991cdf2d-f51c-405f-b3a2-6d1d32053b16",2024-09-13,2024-09-15,"Sporting Event / Festival",true,true,"","Wodcelona International Crossfit Competition","wodcelona-international-crossfit-competition-2024","Moll de la Marina",41.38621796,2.198294913,1,true,"https://wodcelona.com/en",""
"165","83730ff9-c7b3-4c84-a26e-7152b4b42d6d",2024-09-19,2024-09-22,"Open Day / Weekend",true,true,"","Barcelona Gallery Weekend","barcelona-gallery-weekend-2024","Barcelona - Various",41.3873974,2.168568,3,true,"https://barcelonagalleryweekend.com/","There are about 30 gallery locations. Check the website for full details."
"166","215aeb2d-c1e9-4aa6-ae7b-b9b217f68f94",2024-09-20,2024-09-24,"Local / Neighbourhood Festival",true,true,"","La Mercè (Festes de la Mercè)","la-merc-festes-de-la-merc-2024","Barcelona - Various",41.3873974,2.168568,3,true,"https://www.barcelona.cat/lamerce/ca",""
"167","b3e3b06d-947d-496e-93f1-595c33570f0c",2024-09-20,2024-09-24,"Music / Film Festival",true,true,"","BAM Festival","bam-festival-2024","Barcelona - Various",41.3873974,2.168568,3,true,"https://www.barcelona.cat/lamerce/en/bam","There is more than 1 location - check the festival programme."
"168","f5a2c9de-9c2a-4e93-9f3e-5ec6c9ffdecb",2024-09-29,2024-09-29,"Open Day / Weekend",true,true,"","Barcelona International Community Day","barcelona-international-community-day-2024","Maritime Museum",41.3758504,2.1761781,1,true,"https://www.barcelona.cat/internationalwelcome/en/barcelona-international-community-day-2024",""
"169","227361be-2ddb-4f70-b1a2-ab40e0cd5ce1",2024-10-03,2024-10-20,"Food / Drink Festival",true,true,"","Oktoberfest Barcelona","oktoberfest-barcelona-2024","Plaza Universo at Fira Barcelona Montjuïc",41.3735642,2.1515691,1,true,"https://www.oktoberfest-barcelona.es/","The festival runs only Thursday to Sunday for 3 consecutive weekends"
"170","152ee614-8eb6-4ef1-a81e-2abe1e0b7158",2024-11-29,2024-12-23,"Local / Neighbourhood Festival",true,true,"","Sagrada Familia Christmas Market","sagrada-familia-christmas-market-2024","Plaça de la Sagrada Família",41.402606,2.173158,1,true,"https://sagradafamilia.barcelona-tickets.com/sagrada-familia-christmas/",""
"171","407fc030-a870-40ab-86d5-6bae5a7e6e68",2024-12-05,2024-12-08,"Culture / Arts Festival",true,true,"","Manga Barcelona","manga-barcelona-2024","Fira Barcelona Gran Via",41.3546937,2.1278252,1,true,"https://www.manga-barcelona.com/",""
"172","5b930851-0cee-4e54-b7ac-e45076794e3f",2025-01-01,2025-01-01,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - New Year's Day","public-holiday-new-year-s-day-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"173","e224917b-1028-47d1-b7d3-a8487ecb7400",2025-01-06,2025-01-06,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Epiphany / Three Kings Day","public-holiday-epiphany-three-kings-day-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"174","35d68146-5a17-40f8-a1bd-c8460a9a1182",2025-04-18,2025-04-18,"Barcelona Public Holiday",true,true,"","Public Holiday - Good Friday","public-holiday-good-friday-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"175","944aa592-3519-4fb9-a989-d59ffa74ef3f",2025-04-21,2025-04-21,"Barcelona Public Holiday",true,true,"","Public Holiday - Easter Monday","public-holiday-easter-monday-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"176","250550b6-b493-4e53-9ecd-5c141cf4350a",2025-05-01,2025-05-01,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Labour Day / Festa del Treball","public-holiday-labour-day-festa-del-treball-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"177","a5316bc2-d542-4130-8805-57e0081a3e57",2025-06-09,2025-06-09,"Barcelona Public Holiday",true,true,"","Public Holiday - Pentecost Monday / Pasqua","public-holiday-pentecost-monday-pasqua-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/","A.k.a. Whit Monday"
"178","6a3a4f48-43ae-475c-816a-5b116b9abeef",2025-06-24,2025-06-24,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Sant Joan","public-holiday-sant-joan-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/","A.k.a. Midsummer Solstice"
"179","a13f5298-43c1-4833-acc5-0794dfc2a095",2025-08-15,2025-08-15,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Assumption of Mary","public-holiday-assumption-of-mary-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"180","bc4124a7-1400-4a6d-9838-694456e33e5d",2025-09-11,2025-09-11,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Catalan National Day / Diada Nacional de Catalunya","public-holiday-catalan-national-day-diada-nacional-de-catalunya-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"181","6aadfe0a-d05e-4d06-8f5d-d14aef480854",2025-09-24,2025-09-24,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - La Mercè / Mare de Déu de la Mercè","public-holiday-la-merc-mare-de-d-u-de-la-merc-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"182","c1b99637-65d2-42b7-9bb9-25d72c2b7b43",2025-11-01,2025-11-01,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - All Saints Day / Tot Sants","public-holiday-all-saints-day-tot-sants-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"183","97d0090a-7c05-47e4-af37-f05e43e21617",2025-12-06,2025-12-06,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Spanish Constitution Day / Dia de la Constitució","public-holiday-spanish-constitution-day-dia-de-la-constituci-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"184","b0e5e588-6552-47f5-bbe7-eaea1ddcae2d",2025-12-08,2025-12-08,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Feast of the Immaculate Conception / La Immaculada","public-holiday-feast-of-the-immaculate-conception-la-immaculada-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"185","26b7d503-eebb-413b-aaee-6b2bc1ad6ceb",2025-12-25,2025-12-25,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Christmas / Nadal","public-holiday-christmas-nadal-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"186","bc580b9e-3d05-4b91-af64-d2b3eaab7112",2025-12-26,2025-12-26,"Barcelona Public Holiday",true,true,"RRULE:FREQ=YEARLY","Public Holiday - Boxing Day / Sant Esteve","public-holiday-boxing-day-sant-esteve-2025","Barcelona",41.3873974,2.168568,3,true,"https://ajuntament.barcelona.cat/calendarifestius/en/",""
"187","86361458-d47c-4a51-a0d2-341e889264a2",2024-08-14,2024-08-17,"Festa Major",true,true,"","Festes de Sant Roc a la Plaça Nova","festes-de-sant-roc-a-la-pla-a-nova-2024","Plaça Nova",41.3842534,2.1751129,1,true,"https://plnova.cat/","Check the website for the full agenda and starting time."
"188","7ba7a96b-cd0f-476b-a89b-79169304aa8f",2024-08-15,2024-08-21,"Festa Major",true,true,"","Festa Major de Gràcia","festa-major-de-gr-cia-2024","Gràcia Neighbourhood",41.4111806,2.157474,2,true,"https://www.festamajordegracia.cat/","The festival also has a dedicated mobile app."
"189","f7508e8e-6db2-47d1-afef-e2f59e27132f",2024-08-24,2024-09-01,"Festa Major",true,true,"","Festa Major de Sants","festa-major-de-sants-2024","Sants Neighbourhood",41.3754426,2.1355003,2,true,"https://ajuntament.barcelona.cat/sants-montjuic/ca/festa-major-sants",""
"190","c50b0f6a-2e2b-4252-8505-de9952cb6035",2024-09-04,2024-09-14,"Festa Major",true,true,"","Festa Major de la Bordeta","festa-major-de-la-bordeta-2024","La Bordeta Neighbourhood",41.3698948,2.13741,2,true,"https://ajuntament.barcelona.cat/sants-montjuic/ca/el-districte-i-els-seus-barris/la-bordeta/festa-major",""
"191","843afbfe-754d-4201-899a-85ba381bc3e9",2024-09-06,2024-09-15,"Festa Major",true,true,"","Festa Major del Poblenou","festa-major-del-poblenou-2024","Poblenou Neighbourhood",41.4033546,2.2028843,2,true,"https://www.festamajorpoblenou.org/",""
"192","dec5cd88-eb47-401b-9ea6-dcd0d184ff61",2024-09-25,2024-09-29,"Festa Major",true,true,"","Festa Major de la Barceloneta","festa-major-de-la-barceloneta-2024","La Barceloneta Neighbourhood",41.3801061,2.1896957,2,true,"https://ajuntament.barcelona.cat/ciutatvella/ca/noticia/la-festa-major-de-la-barceloneta-busca-cartell_1413981",""
"193","c5430a4c-2213-4066-9ab5-87e328473895",2024-09-06,2024-09-15,"Festa Major",true,true,"","Festa Major d’Horta","festa-major-d-horta-2024","Horta Neighbourhood",41.4333728,2.1522428,2,true,"https://ajuntament.barcelona.cat/horta-guinardo/ca/el-districte-i-els-seus-barris/horta/festa-major",""
"194","db30125f-a0df-4318-a427-95ba690817d1",2024-09-27,2024-09-29,"Festa Major",false,true,"","Festa Major de l’Esquerra de l’Eixample","festa-major-de-l-esquerra-de-l-eixample-2024","Esquerra de l’Eixample Neighbourhood",41.3852619,2.1543306,2,true,"https://www.barcelona.cat/culturapopular/ca/festes-i-tradicions/festa-major-de-lesquerra-de-leixample",""
"195","95c75562-0d7f-4abc-848a-4f0560763594",2024-05-24,2024-05-26,"Festa Major",true,true,"","Festa Major de la Dreta de l’Eixample","festa-major-de-la-dreta-de-l-eixample-2024","Dreta de l’Eixample Neighbourhood",41.3941343,2.1677158,2,true,"https://www.barcelona.cat/culturapopular/ca/noticia/infobarcelonacafira-modernista-i-festa-major-de-la-dreta-de-leixample-2024_1393151",""
"196","4a647693-6c2a-4a25-b84b-99a02abdf866",2024-10-04,2024-10-13,"Festa Major",true,true,"","Festa Major de les Corts","festa-major-de-les-corts-2024","Les Corts Neighbourhood",41.3857199,2.118036,2,true,"https://ajuntament.barcelona.cat/lescorts/ca/coneixeu-el-districte/festa-major",""
"197","efc90d9a-89b2-418e-9d20-f06760caed05",2024-08-22,2024-10-27,"Sporting Event / Festival",true,false,"","America's Cup","america-s-cup-2024","Moll de la Fusta",41.3796026,2.1820142,1,true,"https://www.americascup.com/","The event has multiple viewing locations - consult the website for full info."
"198","1e37bd12-9049-4b60-ba0a-deaafada516e",2024-08-09,2024-08-11,"Music / Film Festival",true,true,"","Brunch Electronik Festival","brunch-electronik-festival-2024","Parc del Fòrum, Barcelona",41.4114594,2.2246577,1,true,"https://brunchelectronikfestival.com/",""
"199","8f53494f-d55b-4221-b6b4-d23052cc2e5f",2024-07-05,2024-07-07,"Food / Drink Festival",true,true,"","La Fira del Poblenou","la-fira-del-poblenou-2024","Rambla de Poblenou / Passeig Calvell",41.3973546,2.2060577,1,true,"https://www.lafiradelpoblenou.com/","Consult the website for the starting time."